x,y,z
0.02260029,0.3526106,5.244534
0.02260029,0.3526106,5.244534
0.02260029,0.3526106,5.244534
-0.3583809,0.3494204,4.598674
-0.3475744,0.3642482,4.602756
-0.3418101,0.3712109,4.604041
-0.336737,0.3776829,4.605363
-0.3311785,0.3843501,4.606557
-0.3150781,0.4011752,4.60827
-0.2980543,0.4171166,4.608957
-0.2874235,0.4255274,4.609187
-0.2782513,0.4324895,4.608817
-0.2689544,0.4397258,4.608322
-0.2602054,0.4463629,4.607097
-0.2522777,0.4529038,4.605559
-0.2428313,0.4596218,4.604779
-0.2329575,0.4655557,4.60565
-0.22324,0.4711176,4.607329
-0.2138158,0.476904,4.608693
-0.2056867,0.483039,4.608838
-0.1981021,0.4898108,4.607505
-0.1909591,0.4971289,4.605809
-0.1839584,0.5036077,4.603878
-0.1769539,0.509508,4.60262
-0.1685668,0.5140715,4.601532
-0.1626173,0.5130412,4.599694
-0.1663171,0.5112553,4.594377
-0.1883248,0.5088935,4.590831
-0.217682,0.5068302,4.585849
-0.2496847,0.4968545,4.574837
-0.2631418,0.4935393,4.56699
-0.2455913,0.5094177,4.566979
-0.2139515,0.5225256,4.582799
-0.1844007,0.5222436,4.593848
-0.1639887,0.5146216,4.607745
-0.1737291,0.5094605,4.615787
-0.2142226,0.5039198,4.616824
-0.2615739,0.492739,4.600614
-0.2864298,0.4772874,4.587593
-0.2884384,0.4743457,4.585573
-0.2782823,0.4773493,4.598978
-0.2522591,0.4844983,4.626486
-0.2263728,0.4841787,4.635833
-0.1962081,0.4719282,4.64553
-0.1974939,0.4646762,4.649608
-0.2299577,0.4602562,4.658461
-0.2738498,0.4568837,4.652787
-0.3108793,0.4457178,4.636528
-0.3288199,0.4396139,4.623067
-0.3232526,0.4458501,4.622501
-0.3064276,0.4618321,4.642969
-0.262606,0.479952,4.666857
-0.2245656,0.4844542,4.68655
-0.1995891,0.4789754,4.696266
-0.2076346,0.4724836,4.708154
-0.2481242,0.4629722,4.708839
-0.2821201,0.4499486,4.7014
-0.314346,0.4307101,4.680824
-0.3166486,0.4314851,4.677291
-0.2993132,0.4424393,4.69384
-0.2724663,0.4543703,4.719995
-0.2371861,0.4580041,4.733099
-0.2146577,0.4489787,4.742728
-0.2239066,0.4397467,4.754532
-0.2585064,0.4256764,4.768633
-0.3023554,0.4142898,4.76217
-0.3284255,0.4045716,4.744365
-0.3438579,0.3971139,4.734043
-0.3440865,0.3964842,4.73381
-0.3434225,0.3985634,4.749272
-0.3280965,0.4143241,4.770749
-0.2981607,0.4322389,4.795879
-0.2718049,0.4402749,4.807453
-0.2712713,0.4418299,4.805795
-0.30116,0.4359817,4.807971
-0.3340415,0.429092,4.794989
-0.3574783,0.4248193,4.780133
-0.3686761,0.4279574,4.773042
-0.3633004,0.4395557,4.78313
-0.3510367,0.4503248,4.79777
-0.3335782,0.4587722,4.806171
-0.3210231,0.4613128,4.808769
-0.3236741,0.4592679,4.808972
-0.34475,0.454037,4.81085
-0.3765913,0.4483257,4.800076
-0.3988558,0.4408806,4.783874
-0.4074661,0.4368812,4.774506
-0.4051577,0.4374467,4.776831
-0.3943812,0.444901,4.791346
-0.3699986,0.4579062,4.804094
-0.3460904,0.4651132,4.81501
-0.3230509,0.4662078,4.814175
-0.3213745,0.4603947,4.81309
-0.3387476,0.4487908,4.812092
-0.3574563,0.4365724,4.806529
-0.3797997,0.4246154,4.796708
-0.3866335,0.4204549,4.786934
-0.3793083,0.4262238,4.792832
-0.3513061,0.4357595,4.80552
-0.3270184,0.4397386,4.816294
-0.3111216,0.4407634,4.817087
-0.3211287,0.4338911,4.823179
-0.3442219,0.4214535,4.828023
-0.368436,0.4114006,4.820593
-0.3833095,0.4080988,4.816307
-0.3837856,0.4189766,4.821159
-0.3643924,0.4320703,4.841164
-0.33979,0.4443524,4.855832
-0.3235852,0.4475456,4.861218
-0.3238863,0.4458792,4.864431
-0.3490802,0.434819,4.874887
-0.3805586,0.418736,4.877465
-0.4025706,0.4096237,4.868391
-0.4126679,0.4080964,4.865037
-0.4053046,0.4217908,4.880301
-0.3857533,0.4356462,4.908002
-0.3587199,0.4503012,4.928217
-0.3356858,0.457606,4.940914
-0.3258179,0.4550276,4.952788
-0.3346683,0.4495459,4.969356
-0.3626195,0.4356411,4.98448
-0.3817507,0.4280203,4.9875
-0.390484,0.4253396,4.9929
-0.381198,0.4323476,5.00882
-0.3609706,0.436893,5.037909
-0.3366581,0.4402011,5.064623
-0.3143636,0.4388829,5.085259
-0.3037161,0.4307784,5.10372
-0.3129565,0.4180372,5.123851
-0.332394,0.404584,5.139167
-0.3529214,0.3947678,5.144259
-0.3641754,0.3895484,5.146282
-0.3665401,0.3899094,5.155648
-0.3539373,0.3965335,5.173231
-0.3316287,0.4049163,5.195048
-0.3074738,0.4100862,5.210237
-0.2904226,0.4086972,5.223917
-0.2938122,0.4030665,5.235126
-0.3132802,0.3942948,5.245289
-0.3404208,0.3863414,5.245208
-0.3594352,0.3784345,5.243918
-0.3685375,0.3746172,5.249674
-0.3586808,0.3767057,5.257817
-0.3536903,0.3775659,5.263623
-0.3442141,0.3785689,5.271098
-0.3229979,0.3797479,5.285917
-0.3094469,0.3745524,5.292102
-0.3146533,0.3675925,5.293752
-0.3426806,0.3555098,5.287024
-0.3694998,0.352325,5.268164
-0.3876091,0.3541755,5.245621
-0.3929058,0.3617032,5.232601
-0.3884188,0.3711091,5.225735
-0.3789588,0.3840166,5.218404
-0.3659357,0.4007238,5.20223
-0.3591472,0.4137622,5.178818
-0.3535591,0.4235972,5.152597
-0.350794,0.4277498,5.122557
-0.3437845,0.4321137,5.065438
-0.3401259,0.4282897,5.040881
-0.330583,0.4253684,5.019855
-0.3101715,0.4248675,5.013727
-0.2822672,0.4228995,5.006071
-0.2491592,0.4181526,4.995027
-0.2281946,0.4116674,4.973799
-0.2359041,0.411918,4.947776
-0.2654206,0.4143973,4.916395
-0.2855872,0.4215358,4.87254
-0.2992064,0.4242275,4.833866
-0.297887,0.4323967,4.806603
-0.2861625,0.4408852,4.8035
-0.2690586,0.4464265,4.810085
-0.2497679,0.443534,4.809986
-0.2451588,0.4386068,4.804237
-0.2645103,0.4333959,4.790991
-0.2928077,0.4309319,4.764768
-0.3034276,0.4339851,4.726954
-0.2998077,0.4391142,4.701661
-0.2810727,0.4511665,4.699984
-0.2530814,0.4564238,4.712798
-0.2169412,0.4560252,4.72577
-0.1949202,0.4483997,4.72692
-0.1919953,0.4414421,4.726452
-0.2076741,0.4287565,4.723716
-0.2282254,0.4174941,4.712087
-0.2308174,0.4113173,4.700021
-0.21501,0.4204584,4.703158
-0.2118593,0.4207637,4.705538
-0.1951061,0.4260464,4.714977
-0.1825224,0.4286092,4.724577
-0.137132,0.4330969,4.746181
-0.1062098,0.4292944,4.758266
-0.09313035,0.4240676,4.762229
-0.1062317,0.415953,4.764751
-0.1252451,0.4106321,4.755865
-0.140262,0.4006285,4.745186
